date,open,high,low,close,volume
4/7/17,47410.28,47960.8,47356.6,47889.37,152381936
4/10/17,47896.9,48095.55,47731.99,47942.95,130699536
4/11/17,47919.74,48257.03,47870.17,48250.07,146968992
4/12/17,48281.21,48518.11,48250.07,48457.26,217818560
4/13/17,48535.8,48553.16,47908.34,47950.58,233386256
4/14/17,47899.23,47955.6,47543.09,47577.06,125767192
4/17/17,47593.38,47672.62,46743.55,47125.12,154156864
4/18/17,47115.82,47182.86,46809.19,46874.37,164450992
4/19/17,46250.97,47715.65,46048.07,47603.48,265684768
4/20/17,47557.55,49509.3,47361.11,48743.56,408163680
4/21/17,48870.16,49743.43,48743.56,49708.65,395824512
4/24/17,49830.78,50204.38,49588.92,50111.67,135670608
4/25/17,50225.03,50304.65,49532.02,49785.17,381346080
4/26/17,49826.24,49954.04,49645.12,49827.51,323016416
4/27/17,49876.94,49909.33,49445.69,49481.7,398976480
4/28/17,49472.04,49575.32,49238.05,49300.9,289925440
5/2/17,49302.23,49303.31,48665.09,48689.42,198972560
5/3/17,48723.98,48929.54,48490.43,48605.14,260205984
5/4/17,48632.55,49389.95,48605.14,49283.64,287866208
5/5/17,49233.9,50098.59,49232.96,49844.82,308119680
5/8/17,49941.51,50977,49941.51,50935.91,326125504
5/9/17,51284.42,51488.56,50935.91,51053.01,370231680
5/10/17,51113.18,51231.65,50857.5,51103.53,334725184
5/11/17,51287.11,51506.96,51103.53,51426.01,397509664
5/12/17,51453.23,51793.56,51399.23,51750.91,346705568
5/15/17,51954.08,52599.07,51954.08,52387.87,352804768
5/16/17,52821.55,52846.7,51754.07,51813.19,377707328
5/17/17,51852.35,51948.27,51443.17,51511.41,371801248
5/18/17,51569.93,51570.29,50875.11,50956.6,302127136
5/19/17,51016.99,51197.27,50666.13,50742.03,345047136
5/22/17,50817.67,51448.71,50742.03,51373.51,240190112
5/23/17,51507.17,52244.24,51373.51,52146.97,323923232
5/24/17,52178.58,53103.21,52146.97,52876.46,606693376
5/25/17,53042.15,53127.24,52733.89,52869.01,408887040
5/26/17,52854.57,52874.63,52455.44,52636.87,431773248
5/29/17,52395.2,52636.87,52036.34,52138.9,203079776
5/30/17,52170.33,52476.18,51278.93,51453.16,234587392
5/31/17,51472.75,51492.44,50213.66,50591.57,410816256
6/1/17,50484.37,50645.33,48361.19,48780.81,403935264
