ticker,mkt,previous_close,open,high,low,close,,change,,,volume
DNCC,Reg,90.21,90.6,91.24,89.9,56.31,+,0.29,1147,1055485,"95,653,461.34"
DOL,FUT,91.95,91.5,92.48,91.25,12.65,+,0.04,301,865500,"79,648,900.00"
DSIL,FUT,90.59,90.03,91.3,90.03,19.38,+,0.21,379,1083000,"98,427,380.00"
DSL,Reg,8.82,9.82,9.82,9.82,3.81,+,1,5,3001,"29,469.82"
DSML,Reg,13.75,13.76,13.76,13.75,5.29,#ERROR!,0,2,7800,"107,255.00"
DWAE,Reg,22.8,22.82,23.31,22,33.01,-,-0.75,1184,1170316,"26,431,108.72"
DWSM,FUT,23.3,23,23.22,22.5,59.42,-,-0.8,105,82000,"1,867,440.00"
DWTM,FUT,22.96,23,23,22.01,4.96,-,-0.75,63,43500,"974,515.00"
DYNO,Reg,3.42,3.45,3.54,3.36,7.4,+,0.07,96,274599,"960,051.61"
ECOP,Reg,5.73,5.75,5.8,5.75,242.52,+,0.06,11,207920,"1,191,355.80"
EFERT,Reg,22.19,24.14,24.14,20.2,14.21,+,1.81,5,5,112.68
EFGH,Reg,18.31,19.96,19.96,19.96,163.81,+,1.65,3,985,"19,660.60"
EFUG,Reg,4.77,5,5,4.05,23.5,-,-0.27,74,121394,"520,723.05"
EFUL,Reg,4.42,4.15,4.15,4.15,85.35,-,-0.27,1,1,4.15
ELCM,Reg,226.98,221.01,228.95,221.01,171,+,1.02,9,208,"46,803.25"
ELSM,Reg,15.74,17.16,17.16,15.9,95,+,0.46,98,100713,"1,689,193.58"
EMCO,Reg,163.62,163,168.1,163,87.95,+,3.71,1662,955256,"159,324,919.44"
ENGRO,FUT,164,167.5,170,167.5,38.92,+,6,9,5500,"930,740.00"
ENGRO-AUG,FUT,164,165,168,165,333.09,+,3,13,10000,1669850
EPCL,Reg,26.26,26.99,26.99,26.99,336.5,+,0.73,1,100,"2,699.00"
EPCL-AUG,Reg,195,193.01,193.55,192.05,41.57,-,-1.45,6,4600,"885,995.00"
EPCLPS,Reg,32.74,35.69,35.69,34.7,42.09,+,2.36,84,43405,"1,542,100.31"
EPQL,Reg,336.84,336.12,341.9,336.07,11.51,+,2.22,653,109328,"37,061,777.51"
ESBL,FUT,340,344.8,345,344.8,25.53,+,5,2,1000,"344,900.00"
EXIDE,FUT,337,337,341.4,337,3.98,+,4.4,8,6500,"2,197,400.00"
FABL,Reg,46.1,46.41,46.45,45.55,1013.3,-,-0.5,511,346437,"15,988,683.15"
FABL-AUG,FUT,47.08,47,47,46.55,47.61,-,-0.18,10,9000,"419,750.00"
FANM,FUT,46.38,46.39,46.39,46,48.01,-,-0.38,6,4500,208365
FASM,Reg,11.49,11.8,11.8,11.8,3.5,+,0.31,1,101,"1,191.80"
FATIMA,Reg,27.88,28.38,28.38,27.91,274.53,+,0.29,147,243656,"6,848,922.80"
FATIMA-AUG,FUT,28.47,28.5,28.5,26.25,51.96,-,-0.47,12,15000,"407,675.00"
FCCL,FUT,27.9,28,30.39,25.56,52.25,+,0.35,13,15000,"410,390.00"
FCCL-AUG,Reg,3.83,3.99,4,3.99,20.11,+,0.17,2,2000,"7,997.00"
FCEPL,Reg,582.49,589,598.98,581,20.31,+,6.01,164,12388,"7,348,358.58"
FCEPL-AUG,Reg,46,45.98,46.01,45.3,64.45,-,-0.55,590,972593,"44,264,705.97"
